College,Type,Total Seats,AIQ Seats,State Seats,AIQ UR,State UR,AIQ EWS,State EWS,AIQ OBC,State OBC,AIQ SC,State SC,AIQ ST,State ST
"Autonomous Medical College, Mirzapur",Govt,100,15,85,7000-7600,7300-8200,7700-8400,8200-9200,7900-8700,8500-9700,12000-16000,19000-27000,17000-25000,29000-45000
"Autonomous Medical College, Shahjahanpur",Govt,100,15,85,7250-7850,7550-8450,7950-8650,8450-9450,8150-8950,8750-9950,12250-16250,19250-27250,17250-25250,29250-45250
"Autonomous Medical College, Siddharthnagar",Govt,100,15,85,7500-8100,7800-8700,8200-8900,8700-9700,8400-9200,9000-10200,12500-16500,19500-27500,17500-25500,29500-45500
"Autonomous Medical College, Pratapgarh",Govt,100,15,85,7750-8350,8050-8950,8450-9150,8950-9950,8650-9450,9250-10450,12750-16750,19750-27750,17750-25750,29750-45750
"Autonomous Medical College, Etah",Govt,100,15,85,8000-8600,8300-9200,8700-9400,9200-10200,8900-9700,9500-10700,13000-17000,20000-28000,18000-26000,30000-46000
"Autonomous Medical College, Ghazipur",Govt,100,15,85,8250-8850,8550-9450,8950-9650,9450-10450,9150-9950,9750-10950,13250-17250,20250-28250,18250-26250,30250-46250
"Autonomous Medical College, Sultanpur",Govt,100,15,85,8500-9100,8800-9700,9200-9900,9700-10700,9400-10200,10000-11200,13500-17500,20500-28500,18500-26500,30500-46500
"Autonomous Medical College, Lalitpur",Govt,100,15,85,8750-9350,9050-9950,9450-10150,9950-10950,9650-10450,10250-11450,13750-17750,20750-28750,18750-26750,30750-46750
"Autonomous Medical College, Auraiya",Govt,100,15,85,9000-9600,9300-10200,9700-10400,10200-11200,9900-10700,10500-11700,14000-18000,21000-29000,19000-27000,31000-47000
"Autonomous Medical College, Bijnor",Govt,100,15,85,9250-9850,9550-10450,9950-10650,10450-11450,10150-10950,10750-11950,14250-18250,21250-29250,19250-27250,31250-47250
"Autonomous Medical College, Gonda",Govt,100,15,85,9500-10100,9800-10700,10200-10900,10700-11700,10400-11200,11000-12200,14500-18500,21500-29500,19500-27500,31500-47500
"Autonomous Medical College, Pilibhit",Govt,100,15,85,9750-10350,10050-10950,10450-11150,10950-11950,10650-11450,11250-12450,14750-18750,21750-29750,19750-27750,31750-47750
"Autonomous Medical College, Chandauli",Govt,100,15,85,10000-10600,10300-11200,10700-11400,11200-12200,10900-11700,11500-12700,15000-19000,22000-30000,20000-28000,32000-48000
"Autonomous Medical College, Kushinagar",Govt,100,15,85,10250-10850,10550-11450,10950-11650,11450-12450,11150-11950,11750-12950,15250-19250,22250-30250,20250-28250,32250-48250
"Autonomous Medical College, Bulandshahr",Govt,100,15,85,10500-11100,10800-11700,11200-11900,11700-12700,11400-12200,12000-13200,15500-19500,22500-30500,20500-28500,32500-48500
"Government Medical College, Etawah",Govt,100,15,85,10750-11350,11050-11950,11450-12150,11950-12950,11650-12450,12250-13450,15750-19750,22750-30750,20750-28750,32750-48750
"Government Medical College, Mahoba",Govt,100,15,85,11000-11600,11300-12200,11700-12400,12200-13200,11900-12700,12500-13700,16000-20000,23000-31000,21000-29000,33000-49000
"Government Medical College, Amethi",Govt,100,15,85,11250-11850,11550-12450,11950-12650,12450-13450,12150-12950,12750-13950,16250-20250,23250-31250,21250-29250,33250-49250
